sample,value,step,direction,file,Step
Gh_SM_ROV12-11.2_d_29_R1_filt.fastq.gz,18611,Tabled,Both,Both,FUSION
Gh_SM_ROV19-11_d_30_R1_filt.fastq.gz,34952,Tabled,Both,Both,FUSION
Gh_Sva_100_d_82_R1_filt.fastq.gz,56492,Tabled,Both,Both,FUSION
Gh_Sva_101_d_84_R1_filt.fastq.gz,69976,Tabled,Both,Both,FUSION
Gh_Sva_62_s_31_R1_filt.fastq.gz,22272,Tabled,Both,Both,FUSION
Gh_Vst_011TVG-004B_d_92_R1_filt.fastq.gz,29471,Tabled,Both,Both,FUSION
Gh_Vst_019TVG-003B_d_90_R1_filt.fastq.gz,64769,Tabled,Both,Both,FUSION
Gh_Vst_019TVG-010B_d_91_R1_filt.fastq.gz,27796,Tabled,Both,Both,FUSION
Gh_Vst_045TVG-005B_i_61_R1_filt.fastq.gz,82606,Tabled,Both,Both,FUSION
Gh_Vst_045TVG-011B_i_62_R1_filt.fastq.gz,90845,Tabled,Both,Both,FUSION
Gh_Vst_045TVG-012B_i_64_R1_filt.fastq.gz,60429,Tabled,Both,Both,FUSION
Gh_Vst_080TVG-009B_s_17_R1_filt.fastq.gz,63139,Tabled,Both,Both,FUSION
Gh_Vst_080TVG-010B_s_18_R1_filt.fastq.gz,121927,Tabled,Both,Both,FUSION
Gh_Vst_080TVG-013B_s_19_R1_filt.fastq.gz,95354,Tabled,Both,Both,FUSION
Pv_FS_MPA_01601_s_52_R1_filt.fastq.gz,19192,Tabled,Both,Both,FUSION
Pv_FS_MPA_01602_s_26_R1_filt.fastq.gz,29070,Tabled,Both,Both,FUSION
Pv_FS_MPA_01603_s_53_R1_filt.fastq.gz,13082,Tabled,Both,Both,FUSION
Pv_NoS_11452_s_08_R1_filt.fastq.gz,43944,Tabled,Both,Both,FUSION
Pv_NoS_11456_s_22_R1_filt.fastq.gz,38914,Tabled,Both,Both,FUSION
Pv_NoS_Notag_s_09_R1_filt.fastq.gz,45486,Tabled,Both,Both,FUSION
Pv_NwK_ST5-38_s_29_R1_filt.fastq.gz,28521,Tabled,Both,Both,FUSION
Pv_NwK_ST5-39_s_30_R1_filt.fastq.gz,42514,Tabled,Both,Both,FUSION
Pv_RB_11218_s_13_R1_filt.fastq.gz,106359,Tabled,Both,Both,FUSION
Pv_RB_11221_s_23_R1_filt.fastq.gz,79166,Tabled,Both,Both,FUSION
Pv_RB_1418_s_15_R1_filt.fastq.gz,47843,Tabled,Both,Both,FUSION
Pv_RB_1420_s_16_R1_filt.fastq.gz,35787,Tabled,Both,Both,FUSION
Pv_RB_MPA_11417_s_20_R1_filt.fastq.gz,30175,Tabled,Both,Both,FUSION
Pv_RB_MPA_11419_s_21_R1_filt.fastq.gz,68526,Tabled,Both,Both,FUSION
Pv_RB_MPA_1865_s_24_R1_filt.fastq.gz,18238,Tabled,Both,Both,FUSION
Pv_RB_MPA_1866_s_14_R1_filt.fastq.gz,22660,Tabled,Both,Both,FUSION
Pv_SMK_ROV25-12_s_33_R1_filt.fastq.gz,17449,Tabled,Both,Both,FUSION
Pv_SMK_ROV25-13_s_35_R1_filt.fastq.gz,15169,Tabled,Both,Both,FUSION
Pv_SMK_ROV25-14_s_36_R1_filt.fastq.gz,38997,Tabled,Both,Both,FUSION
Pv_SRT_046-26_s_11_R1_filt.fastq.gz,28956,Tabled,Both,Both,FUSION
Pv_SRT_046-49_s_12_R1_filt.fastq.gz,53265,Tabled,Both,Both,FUSION
Pv_SSNd_H044-01642_s_45_R1_filt.fastq.gz,47792,Tabled,Both,Both,FUSION
Pv_SSNd_H044-01643_s_46_R1_filt.fastq.gz,24214,Tabled,Both,Both,FUSION
Pv_SSNd_H044-01645_s_47_R1_filt.fastq.gz,19052,Tabled,Both,Both,FUSION
Pv_Sw_11_s_05_R1_filt.fastq.gz,22298,Tabled,Both,Both,FUSION
Pv_Sw_9_s_04_R1_filt.fastq.gz,27946,Tabled,Both,Both,FUSION
Gb_BS_imp_15O4_s_31_F1_filt.fastq.gz,26789,Tabled,Both,Both,FUSION
Gb_BS_imp_18R6_s_38_F1_filt.fastq.gz,57746,Tabled,Both,Both,FUSION
Gb_BS_imp_23W4_s_37_F1_filt.fastq.gz,42849,Tabled,Both,Both,FUSION
Gb_BS_imp_9I4_s_39_F1_filt.fastq.gz,29959,Tabled,Both,Both,FUSION
Gb_BS_unimp_14N5_s_41_F1_filt.fastq.gz,78104,Tabled,Both,Both,FUSION
Gb_BS_unimp_3C6_s_43_F1_filt.fastq.gz,39447,Tabled,Both,Both,FUSION
Gb_BS_unimp_4D2_s_40_F1_filt.fastq.gz,31727,Tabled,Both,Both,FUSION
Gb_BS_unimp_6F4_s_42_F1_filt.fastq.gz,44906,Tabled,Both,Both,FUSION
Gb_Can_M_Trip8-75.1_d_69_F1_filt.fastq.gz,101912,Tabled,Both,Both,FUSION
Gb_Can_M_Trip8-75.2_d_70_F1_filt.fastq.gz,80926,Tabled,Both,Both,FUSION
Gb_Can_M_Trip8-75.3_d_71_F1_filt.fastq.gz,59312,Tabled,Both,Both,FUSION
Gb_Can_S_15O6_d_75_F1_filt.fastq.gz,31905,Tabled,Both,Both,FUSION
Gb_Can_S_16P6_s_55_F1_filt.fastq.gz,164063,Tabled,Both,Both,FUSION
Gb_Can_S_17Q3_d_77_F1_filt.fastq.gz,80699,Tabled,Both,Both,FUSION
Gb_Can_S_23W6_d_78_F1_filt.fastq.gz,27505,Tabled,Both,Both,FUSION
Gb_Can_S_2B6_d_76_F1_filt.fastq.gz,69912,Tabled,Both,Both,FUSION
Gb_Can_S_5E2_s_44_F1_filt.fastq.gz,73776,Tabled,Both,Both,FUSION
Gb_Can_S_8H6_s_54_F1_filt.fastq.gz,51720,Tabled,Both,Both,FUSION
Gb_FS_MPA_14N4_s_50_F1_filt.fastq.gz,50813,Tabled,Both,Both,FUSION
Gb_FS_MPA_20T6_s_49_F1_filt.fastq.gz,44072,Tabled,Both,Both,FUSION
